Title,Total Earnings,Foriegn Earnings,Year,IMDB
A Dirty Shame,"$1,900,000 ","$1,300,000 ",2004,5.1
A Love Song for Bobby Long,"$1,800,000 ","$164,000 ",2004,7.1
The Blue Butterfly,"$1,800,000 ","$1,800,000 ",2004,6.3
Valentin,"$1,700,000 ","$276,000 ",2004,6.3
Enduring Love,"$1,700,000 ","$358,000 ",2004,6.4
Since Otar Left,"$1,600,000 ","$350,000 ",2004,6.4
After Midnight,"$1,600,000 ","$50,500 ",2004,6.9
A Home at the End of the World,"$1,500,000 ","$1,000,000 ",2004,6.7
Wilbur Wants to Kill Himself,"$1,500,000 ","$235,000 ",2004,6.7
She Hate Me,"$1,500,000 ","$366,000 ",2004,5.3
Silver City,"$1,400,000 ","$1,000,000 ",2004,6
Noi,"$1,300,000 ","$60,600 ",2004,6
Saints and Soldiers,"$1,300,000 ","$1,300,000 ",2004,6
Festival Express,"$1,300,000 ","$1,200,000 ",2004,6
Going the Distance (2004),"$1,200,000 ","$1,200,000 ",2004,6
Swades,"$1,200,000 ","$1,200,000 ",2004,8.2
The Best Two Years,"$1,200,000 ","$1,200,000 ",2004,7.5
Paper Clips,"$1,100,000 ","$1,100,000 ",2004,7.3
Donnie Darko: The Director's Cut,"$1,100,000 ","$753,000 ",2004,7.3
On the Run: Trilogy 1,"$988,000 ","$65,200 ",2004,7.3
Criminal,"$929,000 ","$929,000 ",2004,6.4
Monty Python's Life of Brian (Re-issue),"$847,000 ","$647,000 ",2004,6.4
Latter Days,"$835,000 ","$835,000 ",2004,6.4
Saddest Music in the World,"$825,000 ","$699,000 ",2004,6.4
Broken Wings,"$760,000 ","$421,000 ",2004,6.4
Fade to Black,"$742,000 ","$729,000 ",2004,6.9
Masti,"$683,000 ","$309,000 ",2004,6.1
Mean Creek,"$604,000 ","$604,000 ",2004,7.2
Tarnation,"$592,000 ","$592,000 ",2004,7.2
Touch of Pink,"$581,000 ","$565,000 ",2004,6.5
Around the Bend,"$579,000 ","$194,000 ",2004,6.4
The Final Cut,"$551,000 ","$551,000 ",2004,6.2
National Lampoon's Gold Diggers,"$527,000 ","$527,000 ",2004,6.2
The Tracker,"$504,000 ","$55,200 ",2004,6.2
Time of the Wolf,"$499,000 ","$61,400 ",2004,6.2
I'll Sleep When I'm Dead,"$491,000 ","$361,000 ",2004,6.2
The Last Shot,"$464,000 ","$464,000 ",2004,5.6
Outfoxed: Rupert Murdoch's War on Journalism,"$462,000 ","$462,000 ",2004,7.5
It's All About Love,"$443,000 ","$6,100 ",2004,7.5
Short Cut to Nirvana: Kumbh Mela,"$440,000 ","$381,000 ",2004,7.2
Moolaade,"$435,000 ","$216,000 ",2004,7.2
Primer,"$425,000 ","$425,000 ",2004,6.9
Crimson Gold,"$401,000 ","$149,000 ",2004,6.9
The Hunting of the President,"$377,000 ","$377,000 ",2004,6.9
The Brown Bunny,"$366,000 ","$366,000 ",2004,6.9
Broadway: The Golden Age,"$354,000 ","$354,000 ",2004,6.9
The United States of Leland,"$344,000 ","$344,000 ",2004,6.9
Bukowski: Born Into This,"$329,000 ","$319,000 ",2004,6.9
Zhou Yu's Train,"$324,000 ","$143,000 ",2004,6.9
Distant,"$315,000 ","$96,300 ",2004,6.9
Silmido,"$298,000 ","$298,000 ",2004,6.9
I Am David,"$292,000 ","$289,000 ",2004,6.9
Imaginary Heroes,"$291,000 ","$229,000 ",2004,7.2
Code 46,"$286,000 ","$286,000 ",2004,7.2
Our Music (Notre Musique),"$285,000 ","$140,000 ",2004,7.2
The Five Obstructions,"$279,000 ","$166,000 ",2004,7.2
James' Journey to Jerusalem,"$259,000 ","$65,000 ",2004,7.2
The Reckoning,"$257,000 ","$257,000 ",2004,7.2
The Yes Men,"$255,000 ","$255,000 ",2004,7.2
Zatoichi (Canada),"$255,000 ","$255,000 ",2004,7.2
Dhoom,"$246,000 ","$246,000 ",2004,6.7
Secret Things,"$222,000 ","$105,000 ",2004,6.7
Days of Being Wild,"$189,000 ","$146,000 ",2004,6.7
Testosterone,"$185,000 ","$185,000 ",2004,4.5
P.S.,"$181,000 ","$181,000 ",2004,6.1
Danny Deckchair,"$160,000 ","$160,000 ",2004,6.1
Two Men Went to War,"$150,000 ","$150,000 ",2004,6.1
Undertow,"$144,000 ","$144,000 ",2004,6.6
Stephen King's Riding the Bullet,"$135,000 ","$135,000 ",2004,6.6
Tokyo Godfathers,"$130,000 ","$130,000 ",2004,6.6
Malevolence,"$127,000 ","$127,000 ",2004,4.4
Fear and Trembling,"$127,000 ","$127,000 ",2004,4.4
Face,"$108,000 ","$108,000 ",2004,4.4
Twentynine Palms,"$87,400 ","$54,500 ",2004,4.4
My Mother Likes Women,"$82,900 ","$82,900 ",2004,4.4
Ginger Snaps II: Unleashed,"$80,400 ","$80,400 ",2004,4.4
Eulogy,"$75,100 ","$75,100 ",2004,6.6
Reconstruction,"$73,500 ","$73,500 ",2004,6.6
A Tale of Two Sisters,"$72,500 ","$72,500 ",2004,6.3
The Inheritance,"$68,200 ","$68,200 ",2004,6.3
Easy,"$53,800 ","$21,600 ",2004,6.3
Alila,"$51,000 ","$51,000 ",2004,6.3
Springtime in a Small Town,"$43,000 ","$43,000 ",2004,6.3
Sex is Comedy,"$40,500 ","$40,500 ",2004,6.3
La Vie Promise,"$40,000 ","$40,000 ",2004,6.3
Father and Son,"$39,300 ","$39,300 ",2004,6.3
The Umbrellas of Cherbourg (Re-issue),"$36,400 ","$28,000 ",2004,6.3
"Goodbye, Dragon Inn","$35,100 ","$35,100 ",2004,6.3
La Petite Lili,"$34,600 ","$34,600 ",2004,6.3
Anatomy of Hell,"$34,500 ","$34,500 ",2004,4.4
Cowboys and Angels,"$33,900 ","$33,900 ",2004,4.4
Blind Shaft,"$33,300 ","$33,300 ",2004,4.4
Last Life in the Universe,"$32,000 ","$32,000 ",2004,4.4
Stander,"$31,700 ","$31,700 ",2004,4.4
Shade,"$25,000 ","$25,000 ",2004,4.4
Bang Rajan,"$24,600 ","$24,600 ",2004,4.4
S21: The Khmer Rouge Killing Machine,"$23,100 ","$22,600 ",2004,4.4
Incantato,"$23,000 ","$23,000 ",2004,4.4
Son Frere,"$22,800 ","$22,800 ",2004,4.4
Purple Butterfly,"$17,800 ","$17,800 ",2004,4.4
Perfect Opposites,"$16,200 ","$16,200 ",2004,5.5
It's Easier for a Camel,"$16,200 ","$16,200 ",2004,5.5
A Letter to True,"$15,600 ","$15,600 ",2004,6.5
Raja,"$13,000 ","$13,000 ",2004,6.5
Imagining Argentina,"$8,900 ","$8,900 ",2004,6.5
Kaena: The Prophecy,"$8,600 ","$8,600 ",2004,6.5
The Intended,"$8,100 ","$8,100 ",2004,6.5
Bright Future,"$5,200 ","$5,200 ",2004,6.5
Whore,"$5,100 ","$5,100 ",2004,6.5
Dolls,"$4,100 ","$4,100 ",2004,6.5
My Wife Maurice,"$3,800 ","$3,800 ",2004,6.5
Grand Theft Parsons,"$3,400 ", $-   ,2004,6.5
Abouna,"$3,300 ","$3,300 ",2004,6.5
Marathon,"$1,700 ","$1,700 ",2004,6.5
Producing Adults,$900 ,$900 ,2004,6.2
Anatomy 2,$600 ,$600 ,2004,6.2
Harry Potter and the Goblet of Fire,"$896,900,000 ","$290,000,000 ",2005,7.7
Star Wars: Episode III - Revenge of the Sith,"$848,800,000 ","$380,300,000 ",2005,7.5
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,000,000 ","$291,700,000 ",2005,6.9
War of the Worlds,"$591,700,000 ","$234,300,000 ",2005,6.5
King Kong,"$550,500,000 ","$218,100,000 ",2005,7.2
Madagascar,"$532,700,000 ","$193,600,000 ",2005,6.9
Mr. & Mrs. Smith,"$478,200,000 ","$186,300,000 ",2005,6.5
Charlie and the Chocolate Factory,"$475,000,000 ","$206,500,000 ",2005,6.6
Batman Begins,"$372,700,000 ","$205,300,000 ",2005,8.2
Hitch,"$368,100,000 ","$179,500,000 ",2005,7.2
Fantastic Four (2005),"$330,600,000 ","$154,700,000 ",2005,7.2
Chicken Little,"$314,400,000 ","$135,400,000 ",2005,5.7
Wedding Crashers,"$285,200,000 ","$209,300,000 ",2005,6.9
Robots,"$260,700,000 ","$128,200,000 ",2005,6.3
Howl's Moving Castle,"$235,200,000 ","$4,700,000 ",2005,6.3
Constantine,"$230,900,000 ","$76,000,000 ",2005,7
Flightplan,"$223,400,000 ","$89,700,000 ",2005,6.3
Kingdom of Heaven,"$211,700,000 ","$47,400,000 ",2005,7.2
Fun with Dick and Jane,"$202,000,000 ","$110,300,000 ",2005,6.1
The Pacifier,"$198,600,000 ","$113,100,000 ",2005,5.6
Wallace and Gromit: The Curse of the Were-Rabbit,"$192,600,000 ","$56,100,000 ",2005,5.6
The Longest Yard,"$190,300,000 ","$158,100,000 ",2005,6.4
Walk the Line,"$186,400,000 ","$119,500,000 ",2005,7.8
Brokeback Mountain,"$178,100,000 ","$83,000,000 ",2005,7.7
The 40-Year-Old Virgin,"$177,400,000 ","$109,400,000 ",2005,7.1
The Island,"$162,900,000 ","$35,800,000 ",2005,6.8
The Interpreter,"$162,900,000 ","$72,700,000 ",2005,6.4
Memoirs of a Geisha,"$162,200,000 ","$57,500,000 ",2005,7.4
The Ring Two,"$161,500,000 ","$76,200,000 ",2005,5.4
Sin City,"$158,800,000 ","$74,100,000 ",2005,8
Monster-in-Law,"$154,700,000 ","$82,900,000 ",2005,5.5
Saw II,"$147,700,000 ","$87,000,000 ",2005,6.6
The Exorcism of Emily Rose,"$144,200,000 ","$75,100,000 ",2005,6.7
Herbie: Fully Loaded,"$144,100,000 ","$66,000,000 ",2005,6.7
The Legend of Zorro,"$142,400,000 ","$46,500,000 ",2005,5.9
Bewitched,"$131,400,000 ","$63,300,000 ",2005,4.8
Munich,"$130,400,000 ","$47,400,000 ",2005,7.5
Cheaper by the Dozen 2,"$129,200,000 ","$82,600,000 ",2005,5.5
March of the Penguins,"$127,400,000 ","$77,400,000 ",2005,7.5
Hide and Seek,"$122,700,000 ","$51,100,000 ",2005,5.9
Pride and Prejudice,"$121,100,000 ","$38,400,000 ",2005,5.9
Sahara,"$119,300,000 ","$68,700,000 ",2005,6
Tim Burton's Corpse Bride,"$117,200,000 ","$53,400,000 ",2005,6
The Dukes of Hazzard,"$111,100,000 ","$80,300,000 ",2005,5.1
Hoodwinked,"$110,000,000 ","$51,400,000 ",2005,5.1
Cinderella Man,"$108,500,000 ","$61,600,000 ",2005,8
The Amityville Horror (2005),"$108,000,000 ","$65,200,000 ",2005,8
The Brothers Grimm,"$105,300,000 ","$37,900,000 ",2005,5.9
The Hitchhiker's Guide to the Galaxy,"$104,500,000 ","$51,100,000 ",2005,6.7
Just Like Heaven,"$102,900,000 ","$48,300,000 ",2005,6.7
Guess Who,"$101,900,000 ","$68,900,000 ",2005,5.9
Miss Congeniality 2: Armed and Fabulous,"$101,400,000 ","$48,500,000 ",2005,5.9
Kung Fu Hustle,"$100,900,000 ","$17,100,000 ",2005,5.9
Crash,"$98,400,000 ","$54,600,000 ",2005,5.9
Are We There Yet?,"$97,900,000 ","$82,700,000 ",2005,4.7
Jarhead,"$96,900,000 ","$62,700,000 ",2005,4.7
Red Eye,"$95,600,000 ","$57,900,000 ",2005,4.8
Be Cool,"$95,200,000 ","$56,000,000 ",2005,5.6
Syriana,"$94,000,000 ","$50,800,000 ",2005,6.9
Four Brothers,"$92,400,000 ","$74,500,000 ",2005,6.8
The Family Stone,"$92,300,000 ","$60,100,000 ",2005,6.3
Downfall,"$92,200,000 ","$5,500,000 ",2005,-1
The Skeleton Key,"$92,000,000 ","$47,900,000 ",2005,6.5
White Noise,"$91,200,000 ","$56,400,000 ",2005,-1
Racing Stripes,"$90,800,000 ","$49,800,000 ",2005,5.2
Rumor Has It,"$88,900,000 ","$43,000,000 ",2005,5.2
Sky High,"$86,400,000 ","$63,900,000 ",2005,6.1
Match Point,"$85,300,000 ","$23,200,000 ",2005,6
Transporter 2,"$85,200,000 ","$43,100,000 ",2005,6.3
In Her Shoes,"$83,100,000 ","$32,900,000 ",2005,6.4
The Constant Gardener,"$82,500,000 ","$33,600,000 ",2005,7.4
The Chorus,"$81,500,000 ","$1,500,000 ",2005,7.4
Hostage,"$77,900,000 ","$34,600,000 ",2005,6.1
Stealth,"$76,900,000 ","$32,100,000 ",2005,5.1
Coach Carter,"$76,700,000 ","$67,300,000 ",2005,7.3
Lord of War,"$72,600,000 ","$24,100,000 ",2005,7.6
"Yours, Mine and Ours","$72,000,000 ","$53,400,000 ",2005,7.6
XXX: State of the Union,"$71,000,000 ","$26,900,000 ",2005,7.6
The Adventures of Sharkboy and Lavagirl in 3D,"$69,400,000 ","$39,200,000 ",2005,7.6
House of Wax,"$68,800,000 ","$32,100,000 ",2005,5.3
Prime,"$67,900,000 ","$22,800,000 ",2005,6.2
Boogeyman,"$67,200,000 ","$46,800,000 ",2005,4.2
Zathura,"$64,300,000 ","$29,300,000 ",2005,4.2
Valiant,"$61,700,000 ","$19,500,000 ",2005,5.5
A History of Violence,"$60,700,000 ","$31,500,000 ",2005,7.4
Must Love Dogs,"$58,400,000 ","$43,900,000 ",2005,5.9
Son of the Mask,"$57,600,000 ","$17,000,000 ",2005,2.2
Derailed,"$57,500,000 ","$36,000,000 ",2005,7
Elektra,"$56,700,000 ","$24,400,000 ",2005,4.7
Kicking and Screaming,"$56,100,000 ","$52,800,000 ",2005,4.7
Doom,"$56,000,000 ","$28,200,000 ",2005,5.2
"Good Night, and Good Luck.","$54,600,000 ","$31,600,000 ",2005,7.4
Pooh's Heffalump Movie,"$52,900,000 ","$18,100,000 ",2005,6.4
Aeon Flux,"$52,300,000 ","$25,900,000 ",2005,6.4
Elizabethtown,"$52,000,000 ","$26,900,000 ",2005,6.4
Just Friends,"$50,900,000 ","$32,600,000 ",2005,-1
Unleashed,"$50,900,000 ","$24,500,000 ",2005,7
Tyler Perry's Diary of a Mad Black Woman,"$50,700,000 ","$50,600,000 ",2005,7
Fever Pitch,"$50,500,000 ","$42,100,000 ",2005,6.2
Dark Water,"$49,500,000 ","$25,500,000 ",2005,5.6
Capote,"$49,200,000 ","$28,800,000 ",2005,7.3
The Wedding Date,"$47,200,000 ","$31,700,000 ",2005,6.2
George A. Romero's Land of the Dead,"$46,800,000 ","$20,700,000 ",2005,6.2
Broken Flowers,"$46,700,000 ","$13,700,000 ",2005,7.2
Get Rich or Die Tryin',"$46,400,000 ","$31,000,000 ",2005,5.3
The Fog (2005),"$46,200,000 ","$29,600,000 ",2005,5.3
Deuce Bigalow: European Gigolo,"$45,100,000 ","$22,400,000 ",2005,4.7
Into the Blue,"$44,400,000 ","$18,800,000 ",2005,5.8
A Lot Like Love,"$42,900,000 ","$21,800,000 ",2005,6.6
Oliver Twist,"$42,600,000 ","$2,100,000 ",2005,6.8
The Sisterhood of the Traveling Pants,"$42,000,000 ","$39,100,000 ",2005,6.5
The Ringer,"$40,400,000 ","$35,400,000 ",2005,5.8
Magnificent Desolation (IMAX),"$40,300,000 ","$34,100,000 ",2005,5.8
Serenity,"$38,900,000 ","$25,500,000 ",2005,7.8
Dreamer: Inspired by a True Story,"$38,700,000 ","$32,800,000 ",2005,6.8
The Producers,"$38,100,000 ","$19,400,000 ",2005,6.3
Casanova,"$37,700,000 ","$11,300,000 ",2005,6.5
Beauty Shop,"$37,200,000 ","$36,400,000 ",2005,5.5
Assault on Precinct 13,"$35,300,000 ","$20,000,000 ",2005,6.3
Wild Safari 3D (IMAX),"$34,300,000 ","$16,600,000 ",2005,6.3
Bad News Bears,"$34,300,000 ","$32,900,000 ",2005,5.8
Because of Winn-Dixie,"$33,600,000 ","$32,600,000 ",2005,6.3
The Cave,"$33,300,000 ","$15,000,000 ",2005,5.1
Rent,"$31,700,000 ","$29,100,000 ",2005,6.9
The New World,"$30,500,000 ","$12,700,000 ",2005,6.7
Two for the Money,"$30,500,000 ","$23,000,000 ",2005,6.3
Cursed,"$29,600,000 ","$19,300,000 ",2005,5
The Upside of Anger,"$28,200,000 ","$18,800,000 ",2005,6.8
Mrs. Henderson Presents,"$27,900,000 ","$11,000,000 ",2005,6.8
Wolf Creek,"$27,800,000 ","$16,200,000 ",2005,6.2
Ice Princess,"$27,600,000 ","$24,400,000 ",2005,6
North Country,"$25,200,000 ","$18,300,000 ",2005,7.3
Bride and Prejudice,"$24,700,000 ","$6,600,000 ",2005,7.3
Hustle and Flow,"$23,600,000 ","$22,200,000 ",2005,7.3
Domino,"$22,900,000 ","$10,200,000 ",2005,5.9
Man of the House,"$21,600,000 ","$19,700,000 ",2005,6
Mindhunters,"$21,100,000 ","$4,500,000 ",2005,6
The Jacket,"$21,100,000 ","$6,300,000 ",2005,7.1
Ladies in Lavender,"$20,400,000 ","$6,800,000 ",2005,7.1
Ong Bak: The Thai Warrior,"$20,100,000 ","$4,600,000 ",2005,7.1
Melinda and Melinda,"$20,100,000 ","$3,800,000 ",2005,7.1
The Perfect Man,"$19,800,000 ","$16,500,000 ",2005,5.5
2046,"$19,500,000 ","$1,400,000 ",2005,5.5
The Devil's Rejects,"$19,400,000 ","$17,000,000 ",2005,6.8
Deep Blue,"$19,300,000 ","$132,000 ",2005,6.8
The Weather Man,"$19,000,000 ","$12,500,000 ",2005,6.5
Look at Me,"$18,700,000 ","$1,700,000 ",2005,6.5
Waiting...,"$18,600,000 ","$16,100,000 ",2005,-1
An Unfinished Life,"$18,600,000 ","$8,600,000 ",2005,7
The World's Fastest Indian,"$18,300,000 ","$5,100,000 ",2005,7.8
Joyeux Noel (Merry Christmas),"$17,700,000 ","$1,100,000 ",2005,7.8
Roll Bounce,"$17,500,000 ","$17,400,000 ",2005,6.1
Rebound,"$17,500,000 ","$16,800,000 ",2005,5.1
The Matador,"$17,300,000 ","$12,600,000 ",2005,6.7
Cache (Hidden),"$16,200,000 ","$3,600,000 ",2005,6.7
"Kiss Kiss, Bang Bang","$15,800,000 ","$4,200,000 ",2005,6.7
The Gospel,"$15,800,000 ","$15,800,000 ",2005,4.9
Cry Wolf,"$15,600,000 ","$10,000,000 ",2005,5.8
The Greatest Game Ever Played,"$15,400,000 ","$15,300,000 ",2005,7.4
Transamerica,"$15,200,000 ","$9,000,000 ",2005,7.4
Oldboy,"$15,000,000 ","$707,000 ",2005,7.4
Proof,"$14,200,000 ","$7,500,000 ",2005,6.7
The Man,"$13,500,000 ","$8,300,000 ",2005,5.5
Lords of Dogtown,"$13,400,000 ","$11,300,000 ",2005,7.1
The Honeymooners,"$13,200,000 ","$12,800,000 ",2005,3.3
Aliens of the Deep (IMAX),"$12,800,000 ","$9,000,000 ",2005,3.3
Don't Move,"$12,100,000 ","$337,000 ",2005,3.3
Layer Cake,"$11,900,000 ","$2,300,000 ",2005,3.3
Millions,"$11,800,000 ","$6,600,000 ",2005,3.3
A Sound of Thunder,"$11,700,000 ","$1,900,000 ",2005,4.2
Shopgirl,"$11,600,000 ","$10,300,000 ",2005,6.3
The Squid and the Whale,"$11,100,000 ","$7,400,000 ",2005,7.3
Head-On (Gegen die Wand),"$11,000,000 ","$435,000 ",2005,7.3
The Beat That My Heart Skipped,"$11,000,000 ","$1,000,000 ",2005,7.3
The Polar Express (IMAX re-issue 2005),"$10,900,000 ","$10,900,000 ",2005,7.3
Steamboy,"$10,900,000 ","$469,000 ",2005,7.3
The Libertine,"$10,900,000 ","$4,800,000 ",2005,7.4
The Great Raid,"$10,800,000 ","$10,200,000 ",2005,6.7
Alone in the Dark,"$10,400,000 ","$5,200,000 ",2005,2.4
In the Mix,"$10,200,000 ","$10,200,000 ",2005,2.8
The Ice Harvest,"$10,200,000 ","$9,000,000 ",2005,6.3
Private,"$9,600,000 ","$15,800 ",2005,6.3
Salaam Namaste,"$9,300,000 ","$1,400,000 ",2005,6.2
Mad Hot Ballroom,"$9,100,000 ","$8,100,000 ",2005,7.4
The Three Burials of Melquiades Estrada,"$9,000,000 ","$5,000,000 ",2005,7.4
El Crimen Perfecto,"$9,000,000 ","$419,000 ",2005,7.4
Go for Zucker,"$8,400,000 ","$87,500 ",2005,7.4
Stay,"$8,300,000 ","$3,600,000 ",2005,6.8
The Edukators,"$8,200,000 ","$175,000 ",2005,6.8
Mangal Pandey - The Rising,"$8,100,000 ","$954,000 ",2005,6.8
Apres Vous,"$8,100,000 ","$830,000 ",2005,6.8
Me and You and Everyone We Know,"$8,000,000 ","$3,900,000 ",2005,7.3
5x2,"$7,400,000 ","$129,000 ",2005,7.3
Innocent Voices,"$7,000,000 ","$838,000 ",2005,7.3
Bee Season,"$6,900,000 ","$1,200,000 ",2005,5.5
The Aristocrats,"$6,800,000 ","$6,400,000 ",2005,6.4
High Tension,"$6,300,000 ","$3,700,000 ",2005,6.4
Happily Ever After,"$6,200,000 ","$252,000 ",2005,5.9
Underclassman,"$5,900,000 ","$5,700,000 ",2005,4.3
Matando Cabos,"$5,700,000 ","$156,000 ",2005,4.3
Balzac and the Little Chinese Seamstress,"$5,200,000 ","$666,000 ",2005,4.3
Kamikaze Girls,"$5,200,000 ","$34,400 ",2005,4.3
Twin Sisters,"$5,100,000 ","$1,600 ",2005,4.3
Enron: The Smartest Guys in the Room,"$4,900,000 ","$4,100,000 ",2005,7.6
Rize,"$4,600,000 ","$3,300,000 ",2005,7.1
Walk on Water,"$4,400,000 ","$2,700,000 ",2005,7.1
Caterina in the Big City,"$4,300,000 ","$296,000 ",2005,7.1
"Good Morning, Night","$4,200,000 ","$10,100 ",2005,7.1
King's Ransom,"$4,100,000 ","$4,000,000 ",2005,4.3
The White Countess,"$4,100,000 ","$1,700,000 ",2005,6.6
Grizzly Man,"$4,100,000 ","$3,200,000 ",2005,7.8
Schultze Gets the Blues,"$4,000,000 ","$595,000 ",2005,7.8
Breakfast on Pluto,"$3,900,000 ","$829,000 ",2005,7.2
Mrs. Palfrey at the Claremont,"$3,900,000 ","$1,700,000 ",2005,7.6
Before the Fall,"$3,800,000 ","$144,000 ",2005,7.6
Everything Is Illuminated,"$3,600,000 ","$1,700,000 ",2005,7.4
Paradise Now,"$3,600,000 ","$1,500,000 ",2005,7.4
Where the Truth Lies,"$3,500,000 ","$872,000 ",2005,6.5
Separate Lies,"$3,500,000 ","$924,000 ",2005,6.4
Junebug,"$3,400,000 ","$2,700,000 ",2005,6.9
Bunty Aur Babli,"$3,400,000 ","$943,000 ",2005,6.2
Supercross,"$3,300,000 ","$3,100,000 ",2005,4.3
Bluff Master,"$3,300,000 ","$723,000 ",2005,4.3
The Wild Parrots of Telegraph Hill,"$3,200,000 ","$3,100,000 ",2005,4.3
Machuca,"$3,200,000 ","$26,700 ",2005,4.3
Green Street Hooligans,"$3,200,000 ","$347,000 ",2005,7.5
Genesis,"$3,100,000 ","$16,400 ",2005,7.5
G,"$3,000,000 ","$3,000,000 ",2005,7.5
Dear Frankie,"$3,000,000 ","$1,300,000 ",2005,7.5
Darwin's Nightmare,"$3,000,000 ","$204,000 ",2005,7.5
3-Iron,"$3,000,000 ","$242,000 ",2005,7.5
My Summer of Love,"$2,800,000 ","$1,000,000 ",2005,7.5
Up and Down,"$2,700,000 ","$245,000 ",2005,7.5
The Best of Youth,"$2,700,000 ","$274,000 ",2005,7.5
Last Days,"$2,500,000 ","$463,000 ",2005,5.8
Cote D'Azur,"$2,400,000 ","$141,000 ",2005,5.8
Torremolinos 73,"$2,400,000 ","$87,400 ",2005,5.8
Nobody Knows,"$2,300,000 ","$684,000 ",2005,5.8
Lost Embrace,"$2,200,000 ","$191,000 ",2005,5.8
Viruddh,"$2,000,000 ","$328,000 ",2005,5.8
Sympathy for Mr. Vengeance,"$2,000,000 ","$45,300 ",2005,5.8
Thumbsucker,"$1,900,000 ","$1,300,000 ",2005,6.6
Secuestro Express,"$1,900,000 ","$307,000 ",2005,6.6
The Bridge of San Luis Rey,"$1,800,000 ","$50,000 ",2005,6.6
Mondovino,"$1,800,000 ","$210,000 ",2005,6.6
The Oyster Farmer,"$1,800,000 ","$15,500 ",2005,6.6
Murderball,"$1,800,000 ","$1,500,000 ",2005,7.7
State Property 2,"$1,700,000 ","$1,700,000 ",2005,7.7
El Vacilon: The Movie,"$1,700,000 ","$1,300,000 ",2005,7.7
Happy Endings,"$1,700,000 ","$1,300,000 ",2005,6.3
Asylum,"$1,600,000 ","$375,000 ",2005,6.1
It's All Gone Pete Tong,"$1,600,000 ","$121,000 ",2005,6.1
Nine Lives,"$1,600,000 ","$479,000 ",2005,6.7
9 Songs,"$1,600,000 ","$66,900 ",2005,-1
Ushpizin,"$1,600,000 ","$1,400,000 ",2005,-1
Eros,"$1,500,000 ","$188,000 ",2005,-1
Mysterious Skin,"$1,500,000 ","$713,000 ",2005,-1
The Syrian Bride,"$1,500,000 ","$381,000 ",2005,-1
In My Country,"$1,500,000 ","$164,000 ",2005,-1
Modigliani,"$1,500,000 ","$205,000 ",2005,-1
Appleseed,"$1,500,000 ","$129,000 ",2005,-1
Saint Ralph,"$1,400,000 ","$489,000 ",2005,-1
Paheli,"$1,400,000 ","$1,400,000 ",2005,6.5
Sarah Silverman: Jesus is Magic,"$1,300,000 ","$1,300,000 ",2005,6.5
Ballets Russes,"$1,300,000 ","$816,000 ",2005,7.8
Off the Map,"$1,300,000 ","$1,300,000 ",2005,7.8
Heights,"$1,300,000 ","$1,200,000 ",2005,6.9
The Overture,"$1,300,000 ","$2,300 ",2005,6.9
Kontroll,"$1,300,000 ","$237,000 ",2005,6.9
The Holy Girl,"$1,300,000 ","$304,000 ",2005,6.9
Saving Face,"$1,200,000 ","$1,200,000 ",2005,6.9
Little Manhattan,"$1,100,000 ","$385,000 ",2005,7.5
Turtles Can Fly,"$1,100,000 ","$259,000 ",2005,7.5
Undiscovered,"$1,100,000 ","$1,100,000 ",2005,4.3
Ma Mere,"$1,000,000 ","$71,600 ",2005,4.3
Duma,"$995,000 ","$870,000 ",2005,7.2
First Descent,"$988,000 ","$751,000 ",2005,7.1
Saraband,"$975,000 ","$646,000 ",2005,7.1
The Ballad of Jack and Rose,"$916,000 ","$712,000 ",2005,6.6
Venom,"$882,000 ","$882,000 ",2005,4.6
The Beautiful Country,"$878,000 ","$443,000 ",2005,4.6
The Thing About My Folks,"$823,000 ","$816,000 ",2005,6.5
Monsieur N.,"$789,000 ","$37,800 ",2005,6.5
Swimming Upstream,"$770,000 ","$55,000 ",2005,6.5
Black,"$755,000 ","$755,000 ",2005,8.2
The Passenger (re-issue),"$752,000 ","$620,000 ",2005,8.2
Cronicas,"$750,000 ","$300,000 ",2005,8.2
CSA: The Confederate States of America,"$744,000 ","$672,000 ",2005,8.2
Palindromes,"$707,000 ","$553,000 ",2005,8.2
"The Prize Winner of Defiance, Ohio","$689,000 ","$628,000 ",2005,7.3
No Entry,"$678,000 ","$678,000 ",2005,6.6
Travellers and Magicians,"$669,000 ","$507,000 ",2005,6.6
Yes,"$662,000 ","$397,000 ",2005,6.6
Beautiful Boxer,"$638,000 ","$134,000 ",2005,6.6
Dear Wendy,"$604,000 ","$23,100 ",2005,6.6
The Passion Recut,"$568,000 ","$508,000 ",2005,6.6
Tony Takitani,"$556,000 ","$130,000 ",2005,6.6
Kings and Queen,"$542,000 ","$291,000 ",2005,6.6
Lila Says,"$538,000 ","$121,000 ",2005,6.6
Pretty Persuasion,"$537,000 ","$306,000 ",2005,6.5
Three... Extremes,"$509,000 ","$77,500 ",2005,6.5
Shaadi No. 1,"$502,000 ","$337,000 ",2005,3.5
Brothers (2005),"$490,000 ","$389,000 ",2005,3.5
Primo Amore,"$482,000 ","$9,400 ",2005,3.5
Keane,"$394,000 ","$33,300 ",2005,3.5
House of D,"$389,000 ","$389,000 ",2005,3.5
The Game of Their Lives,"$389,000 ","$376,000 ",2005,6.1
The Chumscrubber,"$351,000 ","$52,600 ",2005,7
