Title,Total Earnings,Foriegn Earnings,Year,IMDB
Trust,"$356,000 ","$356,000 ",1991,6.8
Aladdin,"$504,100,000 ","$217,400,000 ",1992,8
The Bodyguard,"$410,900,000 ","$121,900,000 ",1992,6.3
Home Alone 2: Lost in New York,"$359,000,000 ","$173,600,000 ",1992,6.7
Basic Instinct,"$352,900,000 ","$117,700,000 ",1992,6.9
Lethal Weapon 3,"$321,700,000 ","$144,700,000 ",1992,6.7
Batman Returns,"$266,800,000 ","$162,800,000 ",1992,7
A Few Good Men,"$243,200,000 ","$141,300,000 ",1992,7.7
Sister Act,"$231,600,000 ","$139,600,000 ",1992,6.4
Bram Stoker's Dracula,"$215,900,000 ","$82,500,000 ",1992,7.4
Wayne's World,"$183,100,000 ","$121,700,000 ",1992,7
Patriot Games,"$178,100,000 ","$83,400,000 ",1992,6.9
Alien 3,"$159,800,000 ","$55,500,000 ",1992,6.9
Unforgiven,"$159,200,000 ","$101,200,000 ",1992,8.2
Under Siege,"$156,600,000 ","$83,600,000 ",1992,6.5
Death Becomes Her,"$149,000,000 ","$58,400,000 ",1992,6.5
Beethoven,"$147,200,000 ","$57,100,000 ",1992,5.6
Far and Away,"$137,800,000 ","$58,900,000 ",1992,6.6
Scent of a Woman,"$134,100,000 ","$63,100,000 ",1992,8
A League of Their Own,"$132,400,000 ","$107,500,000 ",1992,7.2
Boomerang,"$131,100,000 ","$70,100,000 ",1992,5.5
Forever Young,"$128,000,000 ","$56,000,000 ",1992,6.3
Sneakers,"$105,200,000 ","$51,400,000 ",1992,7.1
Housesitter,"$94,900,000 ","$58,500,000 ",1992,7.1
White Men Can't Jump,"$90,800,000 ","$76,300,000 ",1992,6.8
Stop! Or My Mom Will Shoot!,"$70,600,000 ","$28,400,000 ",1992,6.8
My Cousin Vinny,"$64,100,000 ","$52,900,000 ",1992,7.6
Pinocchio (Re-issue) (1992),"$56,500,000 ","$18,900,000 ",1992,7.6
Shining Through,"$43,800,000 ","$21,600,000 ",1992,6.4
Raising Cain,"$37,200,000 ","$21,400,000 ",1992,6.1
Ferngully: The Last Rainforest,"$32,700,000 ","$24,700,000 ",1992,6.1
Hoffa,"$29,300,000 ","$24,300,000 ",1992,6.6
The Muppet Christmas Carol,"$27,300,000 ","$27,300,000 ",1992,7.7
Prelude to a Kiss,"$22,700,000 ","$20,000,000 ",1992,5.6
The Babe,"$19,900,000 ","$17,500,000 ",1992,5.9
Blade Runner (re-issue),"$3,700,000 ","$3,700,000 ",1992,5.9
Bad Lieutenant,"$2,000,000 ","$2,000,000 ",1992,7.1
Night on Earth,"$2,000,000 ","$2,000,000 ",1992,7.1
Rampage,"$796,000 ","$796,000 ",1992,7.1
Crossing the Bridge,"$480,000 ","$480,000 ",1992,6.4
Drive,"$15,100 ","$15,100 ",1992,6.4
Jurassic Park,"$983,800,000 ","$357,100,000 ",1993,8.1
Mrs. Doubtfire,"$441,300,000 ","$219,200,000 ",1993,7
The Fugitive,"$368,900,000 ","$183,900,000 ",1993,7.8
Schindler's List,"$321,300,000 ","$96,100,000 ",1993,8.9
The Firm,"$270,200,000 ","$158,300,000 ",1993,6.8
Indecent Proposal,"$266,600,000 ","$106,600,000 ",1993,5.9
Cliffhanger,"$255,000,000 ","$84,000,000 ",1993,6.4
Sleepless in Seattle,"$227,800,000 ","$126,700,000 ",1993,6.8
Philadelphia,"$206,700,000 ","$77,400,000 ",1993,7.7
The Pelican Brief,"$195,300,000 ","$100,800,000 ",1993,6.6
In the Line of Fire,"$177,000,000 ","$102,300,000 ",1993,7.2
Cool Runnings,"$154,900,000 ","$68,900,000 ",1993,6.9
Free Willy,"$153,700,000 ","$77,700,000 ",1993,5.9
Sommersby,"$140,100,000 ","$50,100,000 ",1993,6.2
Last Action Hero,"$137,300,000 ","$50,000,000 ",1993,6.3
A Perfect World,"$135,100,000 ","$31,100,000 ",1993,7.6
Hot Shots! Part Deux,"$133,800,000 ","$38,900,000 ",1993,6.6
Beethoven's 2nd,"$118,200,000 ","$53,400,000 ",1993,4.9
Dennis the Menace,"$117,300,000 ","$51,300,000 ",1993,5.6
Sliver,"$116,300,000 ","$36,300,000 ",1993,5
Rising Sun,"$107,200,000 ","$63,200,000 ",1993,6.2
Made in America,"$104,900,000 ","$44,900,000 ",1993,5
Hard Target,"$74,200,000 ","$32,600,000 ",1993,6.2
In the Name of the Father,"$65,800,000 ","$25,100,000 ",1993,8.1
Carlito's Way,"$63,800,000 ","$36,900,000 ",1993,7.9
Dragon: The Bruce Lee Story,"$63,500,000 ","$35,100,000 ",1993,7
The Good Son,"$60,600,000 ","$44,800,000 ",1993,6.4
The Beverly Hillbillies,"$57,400,000 ","$44,000,000 ",1993,5
Rookie of the Year,"$56,500,000 ","$53,600,000 ",1993,6
Tim Burton's The Nightmare Before Christmas,"$50,000,000 ","$50,000,000 ",1993,6
Cop and a Half,"$40,700,000 ","$31,900,000 ",1993,6
The Sandlot,"$33,800,000 ","$32,400,000 ",1993,7.8
The Man Without a Face,"$24,800,000 ","$24,800,000 ",1993,6.7
Like Water for Chocolate,"$21,700,000 ","$21,700,000 ",1993,6.7
Strictly Ballroom,"$11,700,000 ","$11,700,000 ",1993,6.7
Fearless,"$7,000,000 ","$7,000,000 ",1993,7.1
The Lion King,"$858,600,000 ","$312,900,000 ",1994,8.5
Forrest Gump,"$677,400,000 ","$329,700,000 ",1994,8.8
True Lies,"$378,900,000 ","$146,300,000 ",1994,7.2
The Mask,"$351,600,000 ","$119,900,000 ",1994,6.9
Speed,"$350,400,000 ","$121,200,000 ",1994,7.2
The Flintstones,"$341,600,000 ","$130,500,000 ",1994,4.9
Dumb and Dumber,"$247,300,000 ","$127,200,000 ",1994,7.3
Four Weddings and a Funeral,"$245,700,000 ","$52,700,000 ",1994,7
Interview with the Vampire,"$223,700,000 ","$105,300,000 ",1994,7
Clear and Present Danger,"$215,900,000 ","$122,200,000 ",1994,6.9
Disclosure,"$214,000,000 ","$83,000,000 ",1994,6.1
Pulp Fiction,"$213,900,000 ","$107,900,000 ",1994,8.9
