Title,Earnings,Opening Weekend,Opening Date,Close Date
Carny,"1,817,720",N/A,5/23/1980,NA
When a Stranger Calls (Re-issue),"1,262,052",N/A,9/17/1980,NA
Why Would I Lie?,"1,175,855","52,473",8/8/1980,NA
Nijinsky,"1,047,454",N/A,3/21/1980,NA
Heart Beat,"954,046","74,303",1/18/1980,NA
One-Trick Pony,"843,215","150,809",10/3/1980,NA
"Those Lips, Those Eyes","804,713","63,766",8/15/1980,NA
A Small Circle of Friends,"766,760","61,109",3/12/1980,NA
Leo and Loree,"517,988",N/A,2/29/1980,NA
Home Movies,"89,134",N/A,5/16/1980,NA
Phobia,"59,167",N/A,9/26/1980,NA
Breaking Glass,"2,471",N/A,10/17/1980,NA
Raiders of the Lost Ark,"212,222,025","8,305,823",6/12/1981,NA
On Golden Pond,"119,285,432","89,213",12/4/1981,NA
Superman II,"108,185,706","14,100,523",6/19/1981,NA
Arthur,"95,461,682","2,719,534",7/17/1981,NA
Stripes,"85,297,000","6,130,197",6/26/1981,NA
The Cannonball Run,"72,179,579","11,765,654",6/19/1981,NA
Chariots of Fire,"58,972,904","68,907",9/25/1981,NA
For Your Eyes Only,"54,812,802","6,834,967",6/26/1981,NA
The Four Seasons,"50,427,646","4,365,643",5/22/1981,NA
Time Bandits,"42,365,581","6,507,356",11/6/1981,NA
Clash of the Titans (1981),"41,092,328",N/A,6/12/1981,NA
Absence of Malice,"40,716,963","97,667",11/20/1981,NA
Reds,"40,382,659","2,325,029",12/4/1981,NA
The Fox and the Hound,"39,900,000",N/A,7/10/1981,NA
"Tarzan, the Ape Man","36,565,280",N/A,7/24/1981,NA
Taps,"35,856,053","93,005",12/9/1981,NA
Sharky's Machine,"35,610,100","3,022,041",12/18/1981,NA
Excalibur,"34,967,437","4,519,706",4/10/1981,NA
"History of the World, Part I","31,672,907","4,792,731",6/12/1981,NA
Bustin' Loose,"31,261,269","6,622,753",5/22/1981,NA
The Great Muppet Caper,"31,206,251","2,968,990",6/26/1981,NA
Endless Love,"31,184,024","4,163,623",7/17/1981,NA
An American Werewolf in London,"30,565,292","3,786,512",8/21/1981,NA
Neighbors (1981),"29,916,207","6,481,386",12/18/1981,NA
"Fort Apache, The Bronx","29,200,000",N/A,2/6/1981,NA
Cinderella (1981 re-issue),"28,040,000","1,300,000",12/18/1981,NA
The French Lieutenant's Woman,"26,890,068",N/A,9/18/1981,NA
Private Lessons,"26,279,000","1,056,158",8/28/1981,NA
Modern Problems,"26,154,211",N/A,12/25/1981,NA
Halloween II,"25,533,818","7,446,508",10/30/1981,NA
Only When I Laugh,"25,524,778",N/A,9/23/1981,NA
Escape from New York,"25,244,626",N/A,7/10/1981,NA
Body Heat,"24,058,838","564,593",8/28/1981,NA
Ghost Story,"23,371,905","2,105,729",12/16/1981,NA
Friday the 13th Part 2,"21,722,776","6,429,784",4/30/1981,NA
The Final Conflict: Omen III,"20,471,382","5,571,675",3/20/1981,NA
The Incredible Shrinking Woman,"20,259,961","4,279,264",1/30/1981,NA
Mommie Dearest,"19,032,261",N/A,9/18/1981,NA
Paternity,"18,838,812",N/A,10/2/1981,NA
Under the Rainbow,"18,826,490","2,297,493",7/31/1981,NA
The Howling,"17,985,893",N/A,4/10/1981,NA
Eye of the Needle,"17,583,634",N/A,7/24/1981,NA
Take This Job and Shove It,"17,569,027",N/A,5/15/1981,NA
Outland,"17,374,595","3,059,638",5/22/1981,NA
The Devil and Max Devlin,"16,000,000",N/A,2/6/1981,NA
Caveman,"15,965,924",N/A,4/17/1981,NA
Continental Divide,"15,578,237","3,218,347",9/18/1981,NA
The Night the Lights Went Out in Georgia,"14,923,752",N/A,8/7/1981,NA
Nighthawks,"14,905,359","2,525,360",4/10/1981,NA
S.O.B.,"14,867,086",N/A,7/1/1981,NA
Rich and Famous,"14,492,125",N/A,10/9/1981,NA
Scanners (1981),"14,225,876",N/A,1/14/1981,NA
Dragonslayer,"14,110,013","2,407,939",6/26/1981,NA
True Confessions,"12,850,276",N/A,9/25/1981,NA
Atlantic City,"12,729,675",N/A,4/3/1981,NA
The Legend of the Lone Ranger,"12,617,845","2,945,600",5/22/1981,NA
First Monday in October,"12,480,249",N/A,8/21/1981,NA
The Postman Always Rings Twice,"12,376,625",N/A,3/20/1981,NA
Comin' at Ya!,"12,000,000",N/A,Jan/1981,NA
Blow Out,"12,000,000",N/A,7/24/1981,NA
Back Roads,"11,809,387","3,046,339",3/13/1981,NA
Thief,"11,492,915",N/A,3/27/1981,NA
Ragtime,"11,099,118","151,351",11/20/1981,NA
Victory,"10,853,418",N/A,7/31/1981,NA
Rollover,"10,851,261","2,260,689",12/11/1981,NA
Wolfen,"10,626,725","3,037,911",7/24/1981,NA
Carbon Copy,"9,566,593",N/A,9/25/1981,NA
Pennies From Heaven,"9,171,289","520,000",12/11/1981,NA
Deadly Blessing,"8,279,042",N/A,8/14/1981,NA
"Whose Life Is It, Anyway?","8,206,145","1,348,576",12/2/1981,NA
Prince of the City,"8,124,257","64,713",8/19/1981,NA
The Funhouse,"7,886,857","2,765,456",3/13/1981,NA
Buddy Buddy,"7,258,543","189,000",12/11/1981,NA
La Cage aux Folles 2,"6,950,125",N/A,2/15/1981,NA
All the Marbles,"6,468,195",N/A,10/16/1981,NA
Eyewitness,"6,400,000",N/A,2/13/1981,NA
Gallipoli,"5,732,587",N/A,8/28/1981,NA
