Title,Earnings,Opening Weekend,Opening Date,Close Date
The Devil's Advocate,"60,944,660","12,170,536",10/17/1997,NA
Kiss the Girls,"60,527,873","13,215,167",10/3/1997,NA
Jungle 2 Jungle,"59,927,618","12,812,047",3/7/1997,NA
Anastasia,"58,406,347","120,541",11/14/1997,NA
The Jackal,"54,930,280","15,164,595",11/14/1997,NA
Spawn,"54,870,175","19,738,749",8/1/1997,NA
Starship Troopers,"54,814,377","22,058,773",11/7/1997,NA
Austin Powers: International Man of Mystery,"53,883,989","9,548,111",5/2/1997,NA
Breakdown,"50,159,144","12,307,128",5/2/1997,NA
Absolute Power,"50,068,310","14,678,016",2/14/1997,NA
Volcano,"49,323,468","14,581,740",4/25/1997,NA
Speed 2: Cruise Control,"48,608,066","16,158,942",6/13/1997,NA
The Game,"48,323,648","14,337,029",9/12/1997,NA
G.I. Jane,"48,169,156","11,094,241",8/22/1997,NA
Alien Resurrection,"47,795,658","16,474,092",11/26/1997,NA
The Full Monty,"45,950,122","176,585",8/15/1997,NA
The Rainmaker (1997),"45,916,769","10,626,507",11/21/1997,NA
Return of the Jedi (Special Edition),"45,470,437","16,293,531",3/14/1997,NA
Bean,"45,319,423","2,255,233",10/17/1997,NA
Cop Land,"44,862,187","13,510,482",8/15/1997,NA
Nothing to Lose,"44,480,039","11,617,767",7/18/1997,NA
Amistad,"44,229,441","4,573,523",12/10/1997,NA
Soul Food,"43,700,855","11,197,897",9/26/1997,NA
Wag the Dog,"43,061,945","92,079",12/25/1997,NA
The Devil's Own,"42,868,348","14,274,503",3/28/1997,NA
Donnie Brasco,"41,909,762","11,660,216",2/28/1997,NA
The Peacemaker,"41,263,140","12,311,939",9/26/1997,NA
Private Parts,"41,230,799","14,616,333",3/7/1997,NA
Money Talks,"40,922,619","10,654,369",8/22/1997,NA
Jackie Brown,"39,673,162","9,292,248",12/25/1997,NA
Seven Years in Tibet,"37,957,682","10,020,378",10/10/1997,NA
Vegas Vacation,"36,400,360","12,837,927",2/14/1997,NA
Mortal Kombat: Annihilation,"35,927,406","16,771,694",11/21/1997,NA
Selena,"35,281,794","11,615,722",3/21/1997,NA
Addicted to Love,"34,673,095","11,446,098",5/23/1997,NA
The Relic,"33,956,608","9,064,143",1/10/1997,NA
Metro,"32,000,301","11,411,107",1/17/1997,NA
For Richer or Poorer,"31,642,995","6,015,970",12/12/1997,NA
Beverly Hills Ninja,"31,480,418","12,220,920",1/17/1997,NA
Picture Perfect,"31,407,873","7,809,026",8/1/1997,NA
Home Alone 3,"30,882,515","5,085,482",12/12/1997,NA
Fools Rush In,"29,481,428","8,588,068",2/14/1997,NA
Romy & Michele's High School Reunion,"29,235,353","7,429,406",4/25/1997,NA
Out to Sea,"29,022,252","5,887,675",7/4/1997,NA
Father's Day,"28,598,376","8,776,159",5/9/1997,NA
Grosse Pointe Blank,"28,084,357","6,870,397",4/11/1997,NA
The Edge,"27,873,386","7,733,445",9/26/1997,NA
The Little Mermaid (Re-issue),"27,187,616","9,814,520",11/14/1997,NA
Event Horizon,"26,673,242","9,511,915",8/15/1997,NA
An American Werewolf in Paris,"26,570,463","7,600,878",12/25/1997,NA
Boogie Nights,"26,400,640","50,168",10/10/1997,NA
Murder at 1600,"25,804,707","7,962,268",4/18/1997,NA
Mimic,"25,480,490","7,818,208",8/22/1997,NA
Midnight in the Garden of Good & Evil,"25,105,255","5,233,658",11/21/1997,NA
Good Burger,"23,712,993","7,058,333",7/25/1997,NA
Hoodlum,"23,499,102","8,162,768",8/29/1997,NA
Air Bud,"23,144,499","4,878,632",8/1/1997,NA
Red Corner,"22,459,274","7,403,362",10/31/1997,NA
Mr. Magoo,"21,437,192","5,233,631",12/25/1997,NA
Booty Call,"20,050,376","6,429,364",2/28/1997,NA
The Apostle,"19,868,354","29,396",12/19/1997,NA
Gone Fishin',"19,745,922","5,784,123",5/30/1997,NA
Thrill Ride (IMAX),"18,798,590","40,136",7/11/1997,NA
That Darn Cat,"18,301,610","6,424,617",2/14/1997,NA
The Postman,"17,626,234","5,260,324",12/25/1997,NA
That Old Feeling,"16,574,176","5,103,075",4/4/1997,NA
Fire Down Below,"16,228,448","6,073,094",9/5/1997,NA
Wishmaster,"15,738,769","6,038,516",9/19/1997,NA
Rocket Man,"15,448,043","4,472,937",10/10/1997,NA
Jackie Chan's First Strike,"15,318,863","5,778,933",1/10/1997,NA
Eve's Bayou,"14,842,388","3,287,846",11/7/1997,NA
The 6th Man,"14,772,788","4,128,178",3/28/1997,NA
Excess Baggage,"14,515,490","6,309,583",8/29/1997,NA
Fairy Tale: A True Story,"14,059,077","3,515,323",10/24/1997,NA
Def Jam's How to Be a Player,"14,009,368","4,206,656",8/8/1997,NA
The Man Who Knew Too Little,"13,717,039","4,604,819",11/14/1997,NA
The Wings of the Dove,"13,692,848","183,610",11/7/1997,NA
Trial and Error,"13,602,831","4,903,529",5/30/1997,NA
Rosewood,"13,130,349","3,154,075",2/21/1997,NA
Gattaca,"12,532,777","4,320,202",10/24/1997,NA
Love Jones,"12,479,335","3,908,725",3/14/1997,NA
Chasing Amy,"12,021,272","52,446",4/4/1997,NA
Turbulence,"11,538,235","4,464,008",1/10/1997,NA
The Beautician and the Beast,"11,486,880","4,080,222",2/7/1997,NA
Double Team,"11,438,337","5,034,914",4/4/1997,NA
Leave It to Beaver,"10,925,060","3,252,450",8/22/1997,NA
Deconstructing Harry,"10,686,841","356,476",12/12/1997,NA
Mad City,"10,541,523","4,649,742",11/7/1997,NA
Operation Condor,"10,405,394","4,731,751",7/18/1997,NA
Buddy,"10,113,400","3,504,671",6/6/1997,NA
Night Falls on Manhattan,"9,889,670","2,933,255",5/16/1997,NA
Shall We Dance?,"9,499,091",N/A,7/11/1997,NA
Fierce Creatures,"9,381,260","3,759,480",1/24/1997,NA
Mrs. Brown,"9,229,808","76,268",7/18/1997,NA
Ulee's Gold,"9,161,691","89,563",6/13/1997,NA
Turbo: A Power Rangers Movie,"8,363,899","3,301,135",3/28/1997,NA
A Simple Wish,"8,345,056","2,732,880",7/11/1997,NA
The Ice Storm,"8,038,061","75,183",9/27/1997,NA
A Thousand Acres,"7,936,780","2,931,762",9/19/1997,NA
Sprung,"7,575,028","2,487,702",5/16/1997,NA
Wild America,"7,342,923","1,810,586",7/4/1997,NA
She's So Lovely,"7,281,450","3,020,015",8/27/1997,NA
B.A.P.S.,"7,246,735","2,742,679",3/28/1997,NA
Zeus and Roxanne,"7,233,324","2,755,382",1/24/1997,NA
U-Turn,"6,682,098","2,730,440",10/3/1997,NA
Warriors of Virtue,"6,524,620","3,277,084",5/2/1997,NA
Switchback,"6,492,660","2,704,568",10/31/1997,NA
Most Wanted,"6,391,946","2,836,490",10/10/1997,NA
Kull the Conqueror,"6,112,613","3,450,145",8/29/1997,NA
The Boxer,"5,980,578","86,097",12/31/1997,NA
Inventing the Abbotts,"5,936,344","2,301,138",4/4/1997,NA
Gang Related,"5,906,773","2,443,237",10/10/1997,NA
Kolya,"5,770,254","445,598",1/17/1997,NA
187,"5,727,130","2,222,984",7/30/1997,NA
Kundun,"5,684,789","72,095",12/25/1997,NA
Gridlock'd,"5,571,205","2,678,372",1/31/1997,NA
Dangerous Ground,"5,303,931","2,647,745",2/14/1997,NA
Les Boys,"4,602,341","436,174",12/12/1997,NA
McHale's Navy,"4,529,843","2,128,565",4/18/1997,NA
A Life Less Ordinary,"4,366,722","2,007,279",10/24/1997,NA
Playing God,"4,166,918","1,937,374",10/17/1997,NA
Kama Sutra: A Tale of Love,"4,109,095","53,499",2/28/1997,NA
Meet Wally Sparks,"4,073,582","2,131,001",1/31/1997,NA
Lost Highway,"3,675,201","212,710",2/21/1997,NA
8 Heads in a Duffel Bag,"3,602,884","2,024,516",4/18/1997,NA
The Pest,"3,600,616","1,817,278",2/7/1997,NA
Cats Don't Dance,"3,566,637","939,781",3/28/1997,NA
Til There Was You,"3,525,125","1,315,445",5/30/1997,NA
Free Willy 3: The Rescue,"3,446,539","992,651",8/8/1997,NA
The Matchmaker,"3,392,080","1,378,930",10/3/1997,NA
A Smile Like Yours,"3,330,352","1,163,576",8/22/1997,NA
The Sweet Hereafter,"3,263,585","31,149",10/10/1997,NA
Love! Valour! Compassion!,"2,977,807",N/A,5/16/1997,NA
Waiting for Guffman,"2,923,982","37,990",1/31/1997,NA
In the Company of Men,"2,804,473","100,006",8/1/1997,NA
One Night Stand,"2,642,983","978,819",11/14/1997,NA
Brassed Off,"2,576,331","52,534",5/23/1997,NA
Afterglow,"2,465,960","50,052",12/26/1997,NA
Career Girls,"2,416,734","93,303",8/8/1997,NA
Smilla's Sense of Snow,"2,372,903","107,108",2/28/1997,NA
The Pillow Book,"2,372,744",N/A,6/6/1997,NA
Shadow Conspiracy,"2,312,463","1,370,831",1/31/1997,NA
Snowriders 2,"2,287,639",N/A,10/15/1997,NA
Ma Vie En Rose,"2,162,043","76,212",12/26/1997,NA
The Daytrippers,"2,099,677","35,988",3/5/1997,NA
Paradise Road,"2,007,100",N/A,4/11/1997,NA
Masterminds,"1,935,539","1,014,606",8/22/1997,NA
Kiss Me Guido,"1,918,497",N/A,7/18/1997,NA
Washington Square,"1,851,761","14,352",10/5/1997,NA
Steel,"1,710,972","870,068",8/15/1997,NA
Rhyme & Reason,"1,608,277","853,589",3/7/1997,NA
City of Industry,"1,568,258","803,811",3/14/1997,NA
When the Cat's Away,"1,474,628",N/A,6/20/1997,NA
Ponette,"1,300,377",N/A,3/14/1997,NA
The Godfather (Re-issue),"1,267,490","229,932",3/21/1997,NA
Temptress Moon,"1,100,788","66,471",6/13/1997,NA
Blood and Wine,"1,094,668","420,993",2/21/1997,NA
The Tango Lesson,"1,080,192","19,752",11/14/1997,NA
Shiloh,"1,007,822","115,710",4/25/1997,NA
Female Perversions,"926,954",N/A,4/25/1997,NA
When Night Is Falling,"919,671",N/A,11/17/1997,NA
Guantanamera,"903,840","8,851",7/4/1997,NA
"Fast, Cheap and Out of Control","878,960","23,665",10/3/1997,NA
The Winter Guest,"870,290","20,533",12/25/1997,NA
Anna Karenina (1997),"858,553","75,268",4/4/1997,NA
Children of the Revolution,"838,368","31,562",5/1/1997,NA
Kiss or Kill,"796,681",N/A,11/14/1997,NA
Prisoner of the Mountains,"790,078","17,205",1/31/1997,NA
Box of Moonlight,"782,641",N/A,7/25/1997,NA
The Van,"712,095","23,366",5/16/1997,NA
Contempt (1997 re-issue),"706,604",N/A,6/27/1997,NA
A Chef in Love,"686,704","36,628",4/23/1997,NA
Star Maps,"661,465",N/A,7/23/1997,NA
SubUrbia,"656,747","69,365",2/7/1997,NA
The House of Yes,"626,057","63,266",10/10/1997,NA
Love Serenade,"604,523",N/A,8/1/1997,NA
La Promesse,"592,543",N/A,6/16/1997,NA
Prefontaine,"589,304","311,253",1/24/1997,NA
Das Boot: The Director's Cut,"572,426","68,369",4/4/1997,NA
Commandments,"548,561","312,437",5/2/1997,NA
Dream with the Fishes,"543,708","31,777",6/20/1997,NA
Broken English (1997),"541,377",N/A,5/2/1997,NA
Traveller,"534,010","30,855",4/18/1997,NA
Boys Life 2,"532,654","56,224",3/7/1997,NA
Gabbeh,"532,629",N/A,6/25/1997,NA
The Myth of Fingerprints,"523,025","30,533",9/17/1997,NA
Dirty Dancing (Re-issue),"507,892","162,378",8/22/1997,NA
Pippi Longstocking,"505,335","62,196",8/22/1997,NA
Bent,"496,059","109,243",11/26/1997,NA
Flamenco,"480,941","22,106",4/25/1997,NA
The Eighth Day,"416,401","14,397",3/7/1997,NA
Touch,"387,069","195,236",2/14/1997,NA
The End of Violence,"386,673",N/A,9/12/1997,NA
The Second Jungle Book: Mowgli and Baloo,"346,056","157,049",5/16/1997,NA
Albino Alligator,"339,379","101,176",1/17/1997,NA
Welcome to Sarajevo,"334,319","66,920",11/26/1997,NA
The Assignment,"332,597","117,608",9/26/1997,NA
Kissed,"329,211",N/A,4/18/1997,NA
The Education of Little Tree,"323,411","1,817",12/25/1997,NA
Happy Together,"320,319","12,360",10/10/1997,NA
Telling Lies in America,"318,809","11,470",10/17/1997,NA
Lilies,"301,548","28,781",10/10/1997,NA
Different for Girls,"300,645","52,816",9/12/1997,NA
Love and Other Catastrophes,"294,212","22,807",3/28/1997,NA
Bliss (1997),"294,064","54,547",6/6/1997,NA
All Over Me,"292,577",N/A,4/25/1997,NA
Irma Vep,"282,310","11,852",4/30/1997,NA
The Swan Princess II,"273,644",N/A,7/18/1997,NA
Hollow Reed,"265,732","13,284",4/18/1997,NA
The Graduate (re-issue),"259,279","37,948",2/14/1997,NA
Rough Magic,"247,202","59,026",5/30/1997,NA
Hard Eight,"222,559","69,486",2/28/1997,NA
Critical Care,"221,193","43,380",10/31/1997,NA
The Designated Mourner,"215,292",N/A,5/2/1997,NA
Latin Boys Go to Hell,"199,033","24,335",9/5/1997,NA
Nowhere,"194,201","27,354",5/9/1997,NA
Underground,"171,082",N/A,6/20/1997,NA
Hotel de Love,"165,845","50,947",2/7/1997,NA
Paperback Romance,"151,068",N/A,8/15/1997,NA
Waco: The Rules of Engagement,"142,193",N/A,2/28/1997,NA
Texas Chainsaw Massacre: The Next Generation,"141,626","53,111",8/29/1997,NA
Troublesome Creek: A Midwestern,"140,000","8,318",1/3/1997,NA
4 Little Girls,"130,146","13,528",7/9/1997,NA
Twin Town,"127,923","6,827",5/9/1997,NA
For Roseanna,"123,330",N/A,6/18/1997,NA
Gummo,"116,799",N/A,10/17/1997,NA
Going All the Way,"113,069","20,796",9/19/1997,NA
"Truth or Consequences, N.M.","109,261","19,528",5/2/1997,NA
The Ride,"86,307","55,332",12/5/1997,NA
Ripe,"79,727",N/A,5/2/1997,NA
Office Killer,"76,054",N/A,12/3/1997,NA
The Long Way Home,"60,509","10,606",9/17/1997,NA
Keys to Tulsa,"57,252","28,318",4/11/1997,NA
Intimate Relations,"53,662","12,918",6/6/1997,NA
Reggie's Prayer,"52,665","5,120",1/24/1997,NA
A Brother's Kiss,"52,632","25,800",4/25/1997,NA
Follow Me Home,"52,155","17,319",2/28/1997,NA
Will It Snow for Christmas?,"51,950","10,786",12/17/1997,NA
Julian Po,"51,942",N/A,9/5/1997,NA
"This World, Then the Fireworks","51,618","19,906",7/11/1997,NA
Fall,"51,266","12,045",6/20/1997,NA
johns,"50,789","50,789",1/31/1997,NA
Hamsun,"50,000","7,529",8/6/1997,NA
The Last Time I Committed Suicide,"46,362","12,836",6/20/1997,NA
Red Cherry,"44,846","16,208",6/6/1997,NA
Bandwagon,"44,544","22,189",9/12/1997,NA
Wedding Bell Blues,"44,052",N/A,6/13/1997,NA
Mandela,"42,056","8,413",3/21/1997,NA
Nothing Personal,"40,374","5,563",4/25/1997,NA
The Locusts,"40,158","17,787",10/3/1997,NA
Good Luck,"39,962","39,962",3/7/1997,NA
Drunks,"38,268","17,581",3/14/1997,NA
Koyla,"37,795","37,795",1/24/1997,NA
Gentlemen Don't Eat Poets,"35,855",N/A,3/7/1997,NA
Cosi,"35,489",N/A,4/11/1997,NA
Head Above Water,"32,212","11,589",6/25/1997,NA
The Substance of Fire,"31,638","56,211",3/14/1997,NA
Soul in the Hole,"30,697",N/A,8/8/1997,NA
Gray's Anatomy,"29,090","4,690",3/19/1997,NA
Forgotten Silver,"26,459","1,740",10/3/1997,NA
The Winner,"26,004","12,639",7/25/1997,NA
For Ever Mozart,"25,000",N/A,7/4/1997,NA
Trojan Eddie,"21,264","11,867",8/29/1997,NA
"I Love You, I Love You Not","20,677","10,587",10/31/1997,NA
Hugo Pool,"13,330","6,305",12/12/1997,NA
Breaking Up,"11,690","4,493",10/17/1997,NA
Schizopolis,"10,580","6,023",4/9/1997,NA
I Was a Jewish Sex Worker,"8,526",N/A,4/25/1997,NA
The Innocent Sleep,"8,225",N/A,6/27/1997,NA
Brothers in Trouble,"8,000","1,596",5/14/1997,NA
Cold Around the Heart,"5,171",552,11/7/1997,NA
Guy,"4,134","2,132",12/17/1997,NA
Childhood's End,"3,804","2,556",4/4/1997,NA
Beyond Barbed Wire,"3,109","1,668",7/18/1997,NA
Trojan War,309,217,9/26/1997,NA
Saving Private Ryan,"216,540,909","30,576,104",7/24/1998,NA
Armageddon,"201,578,182","36,089,972",7/1/1998,NA
There's Something About Mary,"176,484,651","13,740,644",7/15/1998,NA
A Bug's Life,"162,798,565","291,121",11/20/1998,NA
The Waterboy,"161,491,646","39,414,071",11/6/1998,NA
Doctor Dolittle,"144,156,605","29,014,324",6/26/1998,NA
Rush Hour,"141,186,864","33,001,803",9/18/1998,NA
Deep Impact,"140,464,664","41,152,375",5/8/1998,NA
Godzilla,"136,314,294","44,047,541",5/20/1998,NA
Patch Adams,"135,026,902","25,262,280",12/25/1998,NA
Lethal Weapon 4,"130,444,603","34,048,124",7/10/1998,NA
The Truman Show,"125,618,201","31,542,121",6/5/1998,NA
Mulan,"120,620,254","22,745,143",6/19/1998,NA
You've Got Mail,"115,821,495","18,426,749",12/18/1998,NA
Enemy of the State,"111,549,836","20,038,573",11/20/1998,NA
The Prince of Egypt,"101,413,188","14,524,321",12/18/1998,NA
The Rugrats Movie,"100,494,675","27,321,470",11/20/1998,NA
Shakespeare in Love,"100,317,794","224,012",12/11/1998,NA
The Mask of Zorro,"94,095,523","22,525,855",7/17/1998,NA
Stepmom,"91,137,662","19,142,440",12/25/1998,NA
Antz,"90,757,863","17,195,160",10/2/1998,NA
Everest (IMAX),"87,178,599","364,244",3/6/1998,NA
The X-Files,"83,898,313","30,138,758",6/19/1998,NA
The Wedding Singer,"80,245,725","18,865,080",2/13/1998,NA
City of Angels,"78,685,114","15,369,048",4/10/1998,NA
The Horse Whisperer,"75,383,563","13,685,488",5/15/1998,NA
"Six Days, Seven Nights","74,339,294","16,485,276",6/12/1998,NA
Star Trek: Insurrection,"70,187,658","22,052,836",12/11/1998,NA
Blade,"70,087,718","17,073,856",8/21/1998,NA
Lost in Space,"69,117,629","20,154,919",4/3/1998,NA
A Perfect Murder,"67,638,368","16,615,704",6/5/1998,NA
The Parent Trap,"66,308,518","11,148,497",7/31/1998,NA
Ever After: A Cinderella Story,"65,705,771","8,526,904",7/31/1998,NA
Hope Floats,"60,053,195","14,210,464",5/29/1998,NA
Life Is Beautiful,"57,247,384","118,920",10/23/1998,NA
U.S. Marshals,"57,167,405","16,863,988",3/6/1998,NA
The Man in the Iron Mask,"56,968,902","17,271,450",3/13/1998,NA
A Civil Action,"56,709,981","70,079",12/25/1998,NA
Snake Eyes,"55,591,409","16,310,373",8/7/1998,NA
What Dreams May Come,"55,382,927","15,833,592",10/2/1998,NA
Halloween: H20,"55,041,738","16,187,724",8/7/1998,NA
Small Soldiers,"54,682,547","14,047,592",7/10/1998,NA
T-Rex: Back to the Cretaceous (IMAX),"53,354,743","261,760",10/23/1998,NA
Mighty Joe Young,"50,632,037","10,602,042",12/25/1998,NA
Practical Magic,"46,683,377","13,104,694",10/16/1998,NA
Meet Joe Black,"44,619,100","15,017,995",11/13/1998,NA
The Negotiator,"44,547,681","10,218,831",7/31/1998,NA
Ronin,"41,616,262","12,697,641",9/25/1998,NA
The Siege,"40,981,289","13,931,285",11/6/1998,NA
Mysteries of Egypt (IMAX),"40,593,486","119,280",8/21/1998,NA
Pleasantville,"40,584,421","8,855,063",10/23/1998,NA
The Faculty,"40,283,321","11,633,495",12/25/1998,NA
I Still Know What You Did Last Summer,"40,002,112","16,520,038",11/13/1998,NA
Primary Colors,"39,001,187","12,045,395",3/20/1998,NA
Urban Legend,"38,072,438","10,515,444",9/25/1998,NA
How Stella Got Her Groove Back,"37,672,941","11,318,919",8/14/1998,NA
Out of Sight,"37,562,568","12,020,435",6/26/1998,NA
Sphere,"37,020,277","14,433,957",2/13/1998,NA
The Thin Red Line,"36,400,491","282,534",12/25/1998,NA
Jack Frost,"34,562,556","7,104,125",12/11/1998,NA
Mercury Rising,"32,935,289","10,104,715",4/3/1998,NA
Bride of Chucky,"32,383,850","11,830,855",10/16/1998,NA
A Night at the Roxbury,"30,331,165","9,604,791",10/2/1998,NA
Wild Things,"30,147,739","9,622,444",3/20/1998,NA
Elizabeth ,"30,082,699","275,131",11/6/1998,NA
Madeline,"29,967,750","6,414,668",7/10/1998,NA
Spice World,"29,342,592","10,527,222",1/23/1998,NA
The Object of My Affection,"29,187,243","9,725,855",4/17/1998,NA
Grease (Re-issue),"28,411,018","12,705,463",3/27/1998,NA
The Big Hit,"27,007,143","10,809,424",4/24/1998,NA
Paulie,"26,875,268","5,369,800",4/17/1998,NA
Bulworth,"26,528,185","141,816",5/15/1998,NA
Great Expectations,"26,420,672","9,593,290",1/30/1998,NA
Can't Hardly Wait,"25,605,015","8,025,910",6/12/1998,NA
Fallen,"25,232,289","10,401,586",1/16/1998,NA
Waking Ned Devine,"24,792,251","148,971",11/20/1998,NA
The Avengers (1998),"23,384,939","10,305,957",8/14/1998,NA
One True Thing,"23,245,840","6,606,455",9/18/1998,NA
The Players Club,"23,047,939","5,894,607",4/10/1998,NA
Rounders,"22,912,409","8,459,126",9/11/1998,NA
Beloved,"22,852,487","8,165,551",10/16/1998,NA
The Borrowers,"22,619,589","4,470,111",2/13/1998,NA
Quest for Camelot,"22,510,798","6,041,602",5/15/1998,NA
He Got Game,"21,567,853","7,610,663",5/1/1998,NA
Psycho (1998),"21,456,130","10,031,850",12/4/1998,NA
John Carpenter's Vampires,"20,308,772","9,106,497",10/30/1998,NA
Mafia!,"19,889,299","6,577,961",7/24/1998,NA
Hard Rain,"19,870,567","8,009,024",1/16/1998,NA
Species II,"19,221,939","7,274,008",4/10/1998,NA
The Replacement Killers,"19,204,929","8,046,553",2/6/1998,NA
The Odd Couple II,"18,912,328","4,810,288",4/10/1998,NA
Babe: Pig in the City,"18,319,860","6,162,640",11/25/1998,NA
Simon Birch,"18,253,415","3,321,370",9/11/1998,NA
Disturbing Behavior,"17,514,980","7,007,714",7/24/1998,NA
Half Baked,"17,460,020","7,722,540",1/16/1998,NA
The Big Lebowski,"17,451,873","5,533,844",3/6/1998,NA
Rushmore,"17,105,219","43,666",12/11/1998,NA
54,"16,757,163","6,611,532",8/28/1998,NA
A Simple Plan ,"16,316,273","390,563",12/11/1998,NA
Dance with Me,"15,923,122","4,507,663",8/21/1998,NA
Dead Man on Campus,"15,064,946","4,704,688",8/21/1998,NA
Twilight (1998),"15,055,091","5,866,411",3/6/1998,NA
The Wizard of Oz (1998 re-issue),"14,817,226","5,354,311",11/6/1998,NA
Soldier,"14,594,226","6,447,237",10/23/1998,NA
Dark City,"14,378,331","5,576,953",2/27/1998,NA
Les Miserables (1998),"14,096,321","5,011,840",5/1/1998,NA
Blues Brothers 2000,"14,051,384","6,129,615",2/6/1998,NA
Desperate Measures,"13,806,137","5,833,412",1/30/1998,NA
Hush,"13,583,690","5,742,431",3/6/1998,NA
Africa's Elephant Kingdom (IMAX),"13,485,455","114,105",5/1/1998,NA
Black Dog,"12,951,088","4,809,375",5/1/1998,NA
Living Out Loud,"12,905,901","169,747",10/30/1998,NA
Senseless,"12,874,899","5,337,651",2/20/1998,NA
Mr. Nice Guy,"12,716,953","5,250,704",3/20/1998,NA
Why Do Fools Fall in Love?,"12,461,773","3,946,382",8/28/1998,NA
Barney's Great Adventure,"12,218,638","2,203,865",4/3/1998,NA
I'll Be Home for Christmas,"12,214,338","3,898,293",11/13/1998,NA
Holy Man,"12,069,719","5,106,919",10/9/1998,NA
Sliding Doors,"11,841,544","834,817",4/24/1998,NA
Deep Rising,"11,203,026","4,737,793",1/30/1998,NA
Fear and Loathing in Las Vegas,"10,680,275","3,338,590",5/22/1998,NA
Home Fries,"10,459,961","3,784,023",11/27/1998,NA
The Newton Boys,"10,452,012","4,010,245",3/27/1998,NA
Knock Off,"10,319,915","5,516,231",9/4/1998,NA
I Got the Hook-Up!,"10,317,779","3,310,349",5/29/1998,NA
Air Bud: Golden Receiver,"10,224,116","2,603,726",8/14/1998,NA
Dirty Work,"10,023,282","3,634,236",6/12/1998,NA
Very Bad Things,"9,898,412","3,245,853",11/27/1998,NA
Belly,"9,639,390","3,454,776",11/6/1998,NA
Wrongfully Accused,"9,623,329","3,504,630",8/21/1998,NA
The Spanish Prisoner,"9,584,314","124,011",4/3/1998,NA
The Red Violin,"9,495,408","47,415",11/6/1998,NA
Ringmaster,"9,257,103","3,344,022",11/27/1998,NA
Apt Pupil,"8,863,193","3,583,151",10/23/1998,NA
Return to Paradise,"8,341,087","2,465,129",8/14/1998,NA
Firestorm,"8,165,212","3,849,308",1/9/1998,NA
My Giant,"8,072,007","3,117,795",4/10/1998,NA
Woo,"8,064,972","2,517,263",5/8/1998,NA
Krippendorf's Tribe,"7,571,115","3,316,377",2/27/1998,NA
Star Kid,"7,029,025","2,958,768",1/16/1998,NA
BASEketball,"7,027,290","3,086,105",7/31/1998,NA
Caught Up,"6,754,958","2,422,631",2/27/1998,NA
Gone with the Wind (Re-issue) (1998),"6,750,112","1,192,593",6/26/1998,NA
Smoke Signals,"6,745,362","43,574",6/26/1998,NA
American History X,"6,719,864","156,076",10/30/1998,NA
Gods and Monsters,"6,451,628","75,508",11/6/1998,NA
Affliction,"6,330,054","63,979",12/30/1998,NA
Almost Heroes,"6,136,856","2,837,928",5/29/1998,NA
Les Boys 2,"5,974,732","302,822",12/11/1998,NA
The Opposite of Sex,"5,881,367","102,385",5/22/1998,NA
Palmetto,"5,878,911","2,876,753",2/20/1998,NA
Down in the Delta,"5,672,903","1,080,775",12/25/1998,NA
Phantoms,"5,624,282","3,065,951",1/23/1998,NA
Central Station,"5,596,708","35,708",11/20/1998,NA
Slums of Beverly Hills,"5,502,773","125,561",8/14/1998,NA
Ride,"5,485,295","2,513,334",3/27/1998,NA
Celebrity,"5,078,660","1,588,013",11/20/1998,NA
Hilary and Jackie,"4,912,892","92,956",12/30/1998,NA
Your Friends and Neighbors,"4,714,658","340,288",8/21/1998,NA
Little Voice,"4,611,784","93,722",12/4/1998,NA
Dangerous Beauty,"4,553,271","105,989",2/20/1998,NA
Meet the Deedles,"4,356,216","2,006,751",3/27/1998,NA
Kissing a Fool,"4,106,588","2,308,145",2/27/1998,NA
The Governess,"3,719,509","57,799",7/31/1998,NA
Major League: Back to the Minors,"3,572,443","2,087,011",4/17/1998,NA
"Next Stop, Wonderland","3,395,581","123,055",8/21/1998,NA
Mrs. Dalloway,"3,309,421","90,127",2/20/1998,NA
Pi,"3,221,152","31,069",7/10/1998,NA
The Last Days of Disco,"3,020,601","277,601",5/29/1998,NA
Happiness,"2,807,390","130,303",10/16/1998,NA
Freeriders,"2,750,064","264,548",10/20/1998,NA
The Mighty,"2,652,246","87,705",10/9/1998,NA
Love and Death on Long Island,"2,581,012","78,151",3/6/1998,NA
Buffalo '66,"2,375,097","39,555",6/26/1998,NA
Mark Twain's America in 3-D (IMAX),"2,297,096","5,346",7/2/1998,NA
Dancing at Lughnasa,"2,287,818","83,759",11/13/1998,NA
Hav Plenty,"2,284,034","1,102,036",6/19/1998,NA
Pecker,"2,281,761","541,646",9/25/1998,NA
Touch of Evil (re-issue),"2,247,465","70,725",9/11/1998,NA
The Impostors,"2,198,044","308,767",10/2/1998,NA
Chinese Box,"2,178,160","97,916",4/17/1998,NA
Tarzan and the Lost City,"2,172,941","1,110,564",4/24/1998,NA
Wilde,"2,158,775","69,424",5/1/1998,NA
Zero Effect,"2,087,471","434,840",1/30/1998,NA
Billy's Hollywood Screen Kiss,"2,070,399",N/A,7/24/1998,NA
Two Girls and a Guy,"2,057,193","649,423",4/24/1998,NA
The Butcher Boy,"1,995,911","135,606",4/3/1998,NA
High Art,"1,960,216","47,499",6/12/1998,NA
Oscar and Lucinda,"1,897,404","83,461",1/2/1998,NA
Hurlyburly,"1,798,862","164,826",12/25/1998,NA
Clay Pigeons,"1,794,086","167,364",9/25/1998,NA
